Date,Short Volume,Total Volume
2016-08-31,23373.0,49253.0
2016-08-30,39860.0,84552.0
2016-08-29,26211.0,53036.0
2016-08-26,52443.0,95271.0
2016-08-25,42885.0,71739.0
2016-08-24,35822.0,72323.0
2016-08-23,30254.0,51664.0
2016-08-22,41516.0,64275.0
2016-08-19,40801.0,84699.0
2016-08-18,38853.0,72399.0
2016-08-17,56079.0,92025.0
2016-08-16,33856.0,70238.0
2016-08-15,26885.0,51174.0
2016-08-12,28926.0,64988.0
2016-08-11,32287.0,71341.0
2016-08-10,35259.0,66041.0
2016-08-09,50018.0,109519.0
2016-08-08,36494.0,79621.0
2016-08-05,75886.0,107104.0
2016-08-04,38731.0,72471.0
2016-08-03,50003.0,90301.0
2016-08-02,108575.0,153469.0
2016-08-01,117409.0,174604.0
2016-07-29,251474.0,346598.0
2016-07-28,126517.0,208303.0
2016-07-27,85903.0,130908.0
2016-07-26,35637.0,69375.0
2016-07-25,34588.0,57997.0
2016-07-22,57105.0,85540.0
2016-07-21,33136.0,65615.0
2016-07-20,40189.0,77356.0
2016-07-19,53911.0,94312.0
2016-07-18,70708.0,133888.0
2016-07-15,55214.0,106882.0
2016-07-14,32286.0,59886.0
2016-07-13,39817.0,74928.0
2016-07-12,52489.0,96845.0
2016-07-11,36675.0,72265.0
2016-07-08,73833.0,118946.0
2016-07-07,35902.0,63904.0
2016-07-06,54816.0,101054.0
2016-07-05,45892.0,83189.0
2016-07-01,75374.0,123418.0
2016-06-30,52322.0,100983.0
2016-06-29,62464.0,127634.0
2016-06-28,72097.0,117629.0
2016-06-27,96241.0,162335.0
2016-06-24,139733.0,276818.0
2016-06-23,67334.0,138016.0
2016-06-22,66119.0,113088.0
2016-06-21,48689.0,89588.0
2016-06-20,53522.0,112649.0
2016-06-17,140582.0,247892.0
2016-06-16,82953.0,149290.0
2016-06-15,37926.0,64507.0
2016-06-14,38343.0,78187.0
2016-06-13,47979.0,87237.0
2016-06-10,46796.0,92097.0
2016-06-09,34650.0,67200.0
2016-06-08,60434.0,114911.0
2016-06-07,33578.0,68445.0
2016-06-06,47006.0,84676.0
2016-06-03,60704.0,96155.0
2016-06-02,66109.0,115340.0
2016-06-01,33893.0,66639.0
2016-05-31,64391.0,114858.0
2016-05-27,82476.0,140197.0
2016-05-26,43137.0,81578.0
2016-05-25,59230.0,103238.0
2016-05-24,78672.0,155354.0
2016-05-23,41915.0,65417.0
2016-05-20,95445.0,172376.0
2016-05-19,48778.0,88589.0
2016-05-18,64833.0,108873.0
2016-05-17,75356.0,116920.0
2016-05-16,41988.0,76249.0
2016-05-13,67408.0,104989.0
2016-05-12,54966.0,87207.0
2016-05-11,66514.0,105699.0
2016-05-10,49207.0,91604.0
2016-05-09,58697.0,93708.0
2016-05-06,57679.0,123224.0
2016-05-05,51323.0,72744.0
2016-05-04,50807.0,88593.0
2016-05-03,53938.0,98037.0
2016-05-02,49989.0,103517.0
2016-04-29,112957.0,194087.0
2016-04-28,89704.0,188629.0
2016-04-27,139764.0,226873.0
2016-04-26,76852.0,161459.0
2016-04-25,120420.0,168162.0
2016-04-22,251509.0,417929.0
2016-04-21,136575.0,251974.0
2016-04-20,55365.0,102915.0
2016-04-19,98692.0,175546.0
2016-04-18,66313.0,118297.0
2016-04-15,73866.0,108995.0
2016-04-14,58340.0,95260.0
2016-04-13,77613.0,118677.0
2016-04-12,72399.0,118152.0
2016-04-11,62433.0,98999.0
2016-04-08,43723.0,71272.0
2016-04-07,55694.0,81206.0
2016-04-06,50631.0,75130.0
2016-04-05,61295.0,83600.0
2016-04-04,57006.0,82742.0
2016-04-01,70430.0,116205.0
2016-03-31,58371.0,111278.0
2016-03-30,69708.0,110830.0
2016-03-29,56008.0,104108.0
2016-03-28,38532.0,74062.0
2016-03-24,56956.0,100543.0
2016-03-23,55077.0,87553.0
2016-03-22,36558.0,61463.0
2016-03-21,54342.0,95741.0
2016-03-18,88179.0,136468.0
2016-03-17,91441.0,135047.0
2016-03-16,66954.0,101141.0
2016-03-15,55362.0,88941.0
2016-03-14,61625.0,92100.0
2016-03-11,97108.0,142567.0
2016-03-10,123484.0,181420.0
2016-03-09,87787.0,130892.0
2016-03-08,74737.0,149544.0
2016-03-07,107387.0,196379.0
2016-03-04,97510.0,177373.0
2016-03-03,82563.0,149460.0
2016-03-02,62015.0,120966.0
2016-03-01,115153.0,178321.0
2016-02-29,78905.0,130258.0
2016-02-26,86143.0,153719.0
2016-02-25,72975.0,115806.0
2016-02-24,58582.0,95106.0
2016-02-23,85194.0,126601.0
2016-02-22,53738.0,99805.0
2016-02-19,58907.0,98146.0
2016-02-18,59013.0,129591.0
2016-02-17,90176.0,157589.0
2016-02-16,74810.0,126949.0
2016-02-12,80189.0,144007.0
2016-02-11,135726.0,222661.0
2016-02-10,130319.0,231291.0
2016-02-09,174148.0,298473.0
2016-02-08,132163.0,226751.0
2016-02-05,200174.0,320466.0
2016-02-04,132406.0,240070.0
2016-02-03,238024.0,363508.0
2016-02-02,267908.0,392450.0
2016-02-01,106029.0,189427.0
2016-01-29,120655.0,200862.0
2016-01-28,129505.0,199258.0
2016-01-27,66382.0,102750.0
2016-01-26,68803.0,95495.0
2016-01-25,80246.0,116290.0
2016-01-22,127684.0,194852.0
2016-01-21,142310.0,190160.0
2016-01-20,191376.0,261740.0
2016-01-19,97946.0,147184.0
2016-01-15,102511.0,173669.0
2016-01-14,82996.0,133516.0
2016-01-13,107241.0,154942.0
2016-01-12,116733.0,150310.0
2016-01-11,78981.0,119289.0
2016-01-08,72752.0,111299.0
2016-01-07,118405.0,176511.0
2016-01-06,77505.0,131454.0
2016-01-05,65822.0,105016.0
2016-01-04,104368.0,159429.0
